ProductID,ProductName,ProductNumber,ProductSubcategoryName,ProductCategoryName
1,Adjustable Race,AR-5381,NULL,NULL
2,Bearing Ball,BA-8327,NULL,NULL
3,BB Ball Bearing,BE-2349,NULL,NULL
4,Headset Ball Bearings,BE-2908,NULL,NULL
316,Blade,BL-2036,NULL,NULL
317,LL Crankarm,CA-5965,NULL,NULL
318,ML Crankarm,CA-6738,NULL,NULL
319,HL Crankarm,CA-7457,NULL,NULL
320,Chainring Bolts,CB-2903,NULL,NULL
321,Chainring Nut,CN-6137,NULL,NULL
322,Chainring,CR-7833,NULL,NULL
323,Crown Race,CR-9981,NULL,NULL
324,Chain Stays,CS-2812,NULL,NULL
325,Decal 1,DC-8732,NULL,NULL
326,Decal 2,DC-9824,NULL,NULL
327,Down Tube,DT-2377,NULL,NULL
328,Mountain End Caps,EC-M092,NULL,NULL
329,Road End Caps,EC-R098,NULL,NULL
330,Touring End Caps,EC-T209,NULL,NULL
331,Fork End,FE-3760,NULL,NULL
332,Freewheel,FH-2981,NULL,NULL
341,Flat Washer 1,FW-1000,NULL,NULL
342,Flat Washer 6,FW-1200,NULL,NULL
343,Flat Washer 2,FW-1400,NULL,NULL
344,Flat Washer 9,FW-3400,NULL,NULL
345,Flat Washer 4,FW-3800,NULL,NULL
346,Flat Washer 3,FW-5160,NULL,NULL
347,Flat Washer 8,FW-5800,NULL,NULL
348,Flat Washer 5,FW-7160,NULL,NULL
349,Flat Washer 7,FW-9160,NULL,NULL
350,Fork Crown,FC-3654,NULL,NULL
351,Front Derailleur Cage,FC-3982,NULL,NULL
352,Front Derailleur Linkage,FL-2301,NULL,NULL
355,Guide Pulley,GP-0982,NULL,NULL
356,LL Grip Tape,GT-0820,NULL,NULL
357,ML Grip Tape,GT-1209,NULL,NULL
358,HL Grip Tape,GT-2908,NULL,NULL
359,Thin-Jam Hex Nut 9,HJ-1213,NULL,NULL
360,Thin-Jam Hex Nut 10,HJ-1220,NULL,NULL
361,Thin-Jam Hex Nut 1,HJ-1420,NULL,NULL
362,Thin-Jam Hex Nut 2,HJ-1428,NULL,NULL
363,Thin-Jam Hex Nut 15,HJ-3410,NULL,NULL
364,Thin-Jam Hex Nut 16,HJ-3416,NULL,NULL
365,Thin-Jam Hex Nut 5,HJ-3816,NULL,NULL
366,Thin-Jam Hex Nut 6,HJ-3824,NULL,NULL
367,Thin-Jam Hex Nut 3,HJ-5161,NULL,NULL
368,Thin-Jam Hex Nut 4,HJ-5162,NULL,NULL
369,Thin-Jam Hex Nut 13,HJ-5811,NULL,NULL
370,Thin-Jam Hex Nut 14,HJ-5818,NULL,NULL
371,Thin-Jam Hex Nut 7,HJ-7161,NULL,NULL
372,Thin-Jam Hex Nut 8,HJ-7162,NULL,NULL
373,Thin-Jam Hex Nut 12,HJ-9080,NULL,NULL
374,Thin-Jam Hex Nut 11,HJ-9161,NULL,NULL
375,Hex Nut 5,HN-1024,NULL,NULL
376,Hex Nut 6,HN-1032,NULL,NULL
377,Hex Nut 16,HN-1213,NULL,NULL
378,Hex Nut 17,HN-1220,NULL,NULL
379,Hex Nut 7,HN-1224,NULL,NULL
380,Hex Nut 8,HN-1420,NULL,NULL
381,Hex Nut 9,HN-1428,NULL,NULL
382,Hex Nut 22,HN-3410,NULL,NULL
383,Hex Nut 23,HN-3416,NULL,NULL
384,Hex Nut 12,HN-3816,NULL,NULL
385,Hex Nut 13,HN-3824,NULL,NULL
386,Hex Nut 1,HN-4402,NULL,NULL
387,Hex Nut 10,HN-5161,NULL,NULL
388,Hex Nut 11,HN-5162,NULL,NULL
389,Hex Nut 2,HN-5400,NULL,NULL
390,Hex Nut 20,HN-5811,NULL,NULL
391,Hex Nut 21,HN-5818,NULL,NULL
392,Hex Nut 3,HN-6320,NULL,NULL
393,Hex Nut 14,HN-7161,NULL,NULL
394,Hex Nut 15,HN-7162,NULL,NULL
395,Hex Nut 4,HN-8320,NULL,NULL
396,Hex Nut 18,HN-9161,NULL,NULL
397,Hex Nut 19,HN-9168,NULL,NULL
398,Handlebar Tube,HT-2981,NULL,NULL
399,Head Tube,HT-8019,NULL,NULL
400,LL Hub,HU-6280,NULL,NULL
401,HL Hub,HU-8998,NULL,NULL
402,Keyed Washer,KW-4091,NULL,NULL
403,External Lock Washer 3,LE-1000,NULL,NULL
404,External Lock Washer 4,LE-1200,NULL,NULL
405,External Lock Washer 9,LE-1201,NULL,NULL
406,External Lock Washer 5,LE-1400,NULL,NULL
407,External Lock Washer 7,LE-3800,NULL,NULL
408,External Lock Washer 6,LE-5160,NULL,NULL
409,External Lock Washer 1,LE-6000,NULL,NULL
410,External Lock Washer 8,LE-7160,NULL,NULL
411,External Lock Washer 2,LE-8000,NULL,NULL
412,Internal Lock Washer 3,LI-1000,NULL,NULL
413,Internal Lock Washer 4,LI-1200,NULL,NULL
414,Internal Lock Washer 9,LI-1201,NULL,NULL
415,Internal Lock Washer 5,LI-1400,NULL,NULL
416,Internal Lock Washer 7,LI-3800,NULL,NULL
417,Internal Lock Washer 6,LI-5160,NULL,NULL
418,Internal Lock Washer 10,LI-5800,NULL,NULL
419,Internal Lock Washer 1,LI-6000,NULL,NULL
420,Internal Lock Washer 8,LI-7160,NULL,NULL
421,Internal Lock Washer 2,LI-8000,NULL,NULL
422,Thin-Jam Lock Nut 9,LJ-1213,NULL,NULL
423,Thin-Jam Lock Nut 10,LJ-1220,NULL,NULL
424,Thin-Jam Lock Nut 1,LJ-1420,NULL,NULL
425,Thin-Jam Lock Nut 2,LJ-1428,NULL,NULL
426,Thin-Jam Lock Nut 15,LJ-3410,NULL,NULL
427,Thin-Jam Lock Nut 16,LJ-3416,NULL,NULL
428,Thin-Jam Lock Nut 5,LJ-3816,NULL,NULL
429,Thin-Jam Lock Nut 6,LJ-3824,NULL,NULL
430,Thin-Jam Lock Nut 3,LJ-5161,NULL,NULL
431,Thin-Jam Lock Nut 4,LJ-5162,NULL,NULL
432,Thin-Jam Lock Nut 13,LJ-5811,NULL,NULL
433,Thin-Jam Lock Nut 14,LJ-5818,NULL,NULL
434,Thin-Jam Lock Nut 7,LJ-7161,NULL,NULL
435,Thin-Jam Lock Nut 8,LJ-7162,NULL,NULL
436,Thin-Jam Lock Nut 12,LJ-9080,NULL,NULL
437,Thin-Jam Lock Nut 11,LJ-9161,NULL,NULL
438,Lock Nut 5,LN-1024,NULL,NULL
